recipe,ingredient,quantity
Cà Tím Nhồi Thịt Kho,"Tiêu, đường, dầu ăn, muối",
Cà Tím Nhồi Thịt Kho,"Dầu điều, tương cà",
Vây Cá Hồi Xốt Kem Mayo,Vây cá hồi,300g
Vây Cá Hồi Xốt Kem Mayo,Hành tây,1/2 củ
Vây Cá Hồi Xốt Kem Mayo,Kem sữa tươi,100ml
Vây Cá Hồi Xốt Kem Mayo,Xà lách,100g
Vây Cá Hồi Xốt Kem Mayo,Bột mì,2M
Vây Cá Hồi Xốt Kem Mayo,Nước cốt chanh,1M
Vây Cá Hồi Xốt Kem Mayo,Bơ lạt,2M
Vây Cá Hồi Xốt Kem Mayo,"Rượu vang trắng, dầu ăn, đường, muối",
Vây Cá Hồi Xốt Kem Mayo,"Ngò tây, cà chua bi",
Bạch Tuộc Xào Rau Muống,Bạch tuộc,300g
Bạch Tuộc Xào Rau Muống,Rau muống cọng,200g
Bạch Tuộc Xào Rau Muống,Ớt hiểm,2 trái
Bạch Tuộc Xào Rau Muống,Gừng băm,1M
Bạch Tuộc Xào Rau Muống,Hành tỏi băm,
Bạch Tuộc Xào Rau Muống,"Dầu hào, rượu trắng",
Bạch Tuộc Xào Rau Muống,Màu dầu điều,
Bạch Tuộc Xào Rau Muống,"Tiêu, đường, dầu ăn",
Gỏi Rau Muống Chiên Giòn,Rau muống,100g
Gỏi Rau Muống Chiên Giòn,Xoài keo,1/2 trái
Gỏi Rau Muống Chiên Giòn,Khô cá sặc,1 con
Gỏi Rau Muống Chiên Giòn,Hành tây,1/2 củ
Gỏi Rau Muống Chiên Giòn,Rau răm,1 nắm
Gỏi Rau Muống Chiên Giòn,Ớt sừng xắt sợi,1 trái
Gỏi Rau Muống Chiên Giòn,Hành tím bào mỏng,5 củ
Gỏi Rau Muống Chiên Giòn,Tỏi băm Ớt băm,
Gỏi Rau Muống Chiên Giòn,"Nước mắm, đường, dầu ăn",
Thịt Bò Xào Lá Lốt,Thịt bò phi-lê,250g
Thịt Bò Xào Lá Lốt,Lá lốt,100g
Thịt Bò Xào Lá Lốt,Sả cây,1 cây
Thịt Bò Xào Lá Lốt,Hành tây,1/2 củ
Thịt Bò Xào Lá Lốt,Kẹo đậu phộng giã nhuyễn,2M
Thịt Bò Xào Lá Lốt,Hành tỏi băm,
Thịt Bò Xào Lá Lốt,Ớt sừng cắt sợi,
Thịt Bò Xào Lá Lốt,"Tiêu, bột cà ri, dầu ăn",
Đậu Hũ Nướng Giấy Bạc,Đậu hũ non,300g
Đậu Hũ Nướng Giấy Bạc,Cua thịt,100g
Đậu Hũ Nướng Giấy Bạc,Nấm linh chi nâu,50g
Đậu Hũ Nướng Giấy Bạc,Nấm linh chi trắng,50g
Đậu Hũ Nướng Giấy Bạc,Cà rốt,20g
Đậu Hũ Nướng Giấy Bạc,Hành boaro,1 khúc
Đậu Hũ Nướng Giấy Bạc,"Nước dùng, dầu ăn, dầu mè, dầu hào, bột năng",
Đậu Hũ Nướng Giấy Bạc,"Tỏi, gừng, rượu trắng, tiêu, muối",
Tôm Mực Chiên Giòn,Mực ống,200g
Tôm Mực Chiên Giòn,Tôm sú,200g
Tôm Mực Chiên Giòn,"Mù tạt xanh, ngò rí",
Tôm Mực Chiên Giòn,Tiêu,
Bánh Đa Xúc Thịt Bằm,Thịt bằm,150g
Bánh Đa Xúc Thịt Bằm,Cà rốt,40g
Bánh Đa Xúc Thịt Bằm,Đậu que,40g
Bánh Đa Xúc Thịt Bằm,Bắp Mỹ,1/2 trái
Bánh Đa Xúc Thịt Bằm,Hành lá,1 cây
Bánh Đa Xúc Thịt Bằm,Tỏi gừng băm,
Bánh Đa Xúc Thịt Bằm,Mè rang,
Bánh Đa Xúc Thịt Bằm,Bánh đa nướng,
Bánh Đa Xúc Thịt Bằm,"Tiêu, đường, dầu ăn",
Bánh Đa Xúc Thịt Bằm,Nước tương LISA,
Canh Vịt Khoai Sọ,Thịt vịt,600g
Canh Vịt Khoai Sọ,Khoai sọ,300g
Canh Vịt Khoai Sọ,Cà rốt,1/2 củ
Canh Vịt Khoai Sọ,Hành tím,5 củ
Canh Vịt Khoai Sọ,"Ngò gai, rau om",
Canh Vịt Khoai Sọ,"Tiêu, nước mắm, dầu ăn",
Rau Củ Kho Mayonnaise,Thịt nạc dăm,150g
Rau Củ Kho Mayonnaise,Su su,150g
Rau Củ Kho Mayonnaise,Củ sắn,150g
Rau Củ Kho Mayonnaise,Cà rốt nhỏ,1 củ
Rau Củ Kho Mayonnaise,Ớt hiểm đập dập,1 trái
Rau Củ Kho Mayonnaise,Nước dừa tươi,1 chén
Rau Củ Kho Mayonnaise,Hành tỏi băm,2M
Rau Củ Kho Mayonnaise,"Muối, đường, tiêu, dầu điều, dầu ăn",
Lươn Chiên Mắm Sả,"Lươn (làm sạch, cắt khúc)",300g
Lươn Chiên Mắm Sả,Sả băm,2M
Lươn Chiên Mắm Sả,Sả (bào sẵn),2 cây
Lươn Chiên Mắm Sả,Tỏi băm,2M
Lươn Chiên Mắm Sả,Ớt băm,1M
Lươn Chiên Mắm Sả,Xà lách lolo,2 cây
Lươn Chiên Mắm Sả,Dưa leo,1 trái
Lươn Chiên Mắm Sả,Nước cốt chanh,1M
Lươn Chiên Mắm Sả,Rau húng quế,1 ít
Lươn Chiên Mắm Sả,"Nước mắm, đường, dầu ăn",
Cuốn Gà Khai Vị,Thịt ức gà,200g
Cuốn Gà Khai Vị,Lạp xưởng,4 cây
Cuốn Gà Khai Vị,Cà chua bi,10 trái
Cuốn Gà Khai Vị,Bột xù,1 chén
Cuốn Gà Khai Vị,Ngò tây,
Cuốn Gà Khai Vị,"Hành tỏi băm, nước hành tỏi","1 ít thơm, dưa leo"
Cuốn Gà Khai Vị,"Tiêu, dầu ăn",
Cuốn Gà Khai Vị,Xốt Mayonnaise LISA,
Bánh Rôti Cuộn Thịt Gà,Thịt đùi gà không xương,300g
Bánh Rôti Cuộn Thịt Gà,Bơ,20g
Bánh Rôti Cuộn Thịt Gà,Bánh rô ti,5 cái
Bánh Rôti Cuộn Thịt Gà,Phô mai Mozarella cắt nhỏ,50g
Bánh Rôti Cuộn Thịt Gà,Cà rốt cắt sợi,1/2 củ
Bánh Rôti Cuộn Thịt Gà,Củ Đậu Hà Lan,50g
Bánh Rôti Cuộn Thịt Gà,Nước dùng gà,1 chén
Bánh Rôti Cuộn Thịt Gà,Cơm,1 chén
Bánh Rôti Cuộn Thịt Gà,Hành lá,3 nhánh
Bánh Rôti Cuộn Thịt Gà,Bột nghệ,1m
Bánh Rôti Cuộn Thịt Gà,Hành tím băm,
Bánh Rôti Cuộn Thịt Gà,"Tiêu, xốt tabasco, dầu ăn",
Tôm Càng Xốt Nước Tương,Tôm càng,4 con ( 600g )
Tôm Càng Xốt Nước Tương,Gừng,50g
Tôm Càng Xốt Nước Tương,Nước dùng,1 chén
Tôm Càng Xốt Nước Tương,Hành tây,1 củ
Tôm Càng Xốt Nước Tương,Ớt sừng,2 trái
Tôm Càng Xốt Nước Tương,Trứng gà,1 quả
Tôm Càng Xốt Nước Tương,Hành lá,2 nhánh
Tôm Càng Xốt Nước Tương,"Tỏi băm, ớt băm",
Tôm Càng Xốt Nước Tương,"Đường, muối, bột năng",
Tôm Càng Xốt Nước Tương,"Dầu điều, tương ớt, tương đen",
Thịt Bò Trộn Ngũ Sắc,Thịt bò phi lê,200g
Thịt Bò Trộn Ngũ Sắc,Bắp Mỹ,50g
Thịt Bò Trộn Ngũ Sắc,"Bông cải xanh, bông cải trắng",100g
Thịt Bò Trộn Ngũ Sắc,Bắp cải tím,50g
Thịt Bò Trộn Ngũ Sắc,Lá quế,20g
Thịt Bò Trộn Ngũ Sắc,Cà rốt,1/4 củ
Thịt Bò Trộn Ngũ Sắc,Cần tây,50g
Thịt Bò Trộn Ngũ Sắc,Cọng Tỏi,2 tép
Thịt Bò Trộn Ngũ Sắc,"Muối, tiêu, dầu ăn",
Salad Bánh Đa Tôm,Bánh đa tôm,1 cái
Salad Bánh Đa Tôm,Tôm sú,100g
Salad Bánh Đa Tôm,Salad Roman,150g
Salad Bánh Đa Tôm,Hành tây tím,1/2 củ
Salad Bánh Đa Tôm,Ớt chuông xanh,1/4 trái
Salad Bánh Đa Tôm,Cà chua bi,10 trái
Salad Bánh Đa Tôm,"Đường, nước mắm, tương ớt, dầu ăn",
Salad Bánh Đa Tôm,"Ớt băm, tỏi băm",
Bò Cuộn Xốt Lá Quế,Bò phi lê,250g
Bò Cuộn Xốt Lá Quế,Ba rọi muối,6 miếng
Bò Cuộn Xốt Lá Quế,Lá quế tây,20g
Bò Cuộn Xốt Lá Quế,Hạt điều băm,30g
Bò Cuộn Xốt Lá Quế,Phô mai bột,10g
Bò Cuộn Xốt Lá Quế,Tỏi băm,1M
Bò Cuộn Xốt Lá Quế,"Dầu ăn, muối, tiêu",
Bò Cuộn Xốt Lá Quế,Mù tạt vàng,
Gỏi Bao Tử Cá Basa,Bao tử cá basa,300g
Gỏi Bao Tử Cá Basa,Ngó sen ngâm chua,250g
Gỏi Bao Tử Cá Basa,Cà rốt,1/2 củ
Gỏi Bao Tử Cá Basa,Cần tàu,10 cọng
Gỏi Bao Tử Cá Basa,Ớt sừng,1 trái
Gỏi Bao Tử Cá Basa,Ớt hiểm,2 trái
Gỏi Bao Tử Cá Basa,Gừng,1 củ nhỏ
Gỏi Bao Tử Cá Basa,Đậu phộng,
Gỏi Bao Tử Cá Basa,Tỏi băm,
Gỏi Bao Tử Cá Basa,Hành tím phi,
Gỏi Bao Tử Cá Basa,Húng lủi,
Gỏi Bao Tử Cá Basa,"Đường, nước mắm",
Thịt Kho Khổ Qua Tây,Thịt ba chỉ,200g
Thịt Kho Khổ Qua Tây,Khổ qua tây,2 trái
Thịt Kho Khổ Qua Tây,Tôm khô,50g
Thịt Kho Khổ Qua Tây,Hành tím,5 củ
Thịt Kho Khổ Qua Tây,Ớt hiểm cắt lát,1 trái
Thịt Kho Khổ Qua Tây,Tỏi băm,
Thịt Kho Khổ Qua Tây,Hành lá,
Thịt Kho Khổ Qua Tây,"Nước mắm, đường, tiêu, dầu ăn",
Gà Xào Hạt Điều,Thịt má đùi gà bỏ xương,250g
Gà Xào Hạt Điều,Hạt điều rang sẵn,30g
Gà Xào Hạt Điều,Ớt chuông xanh,65g
Gà Xào Hạt Điều,Ớt chuông đỏ,65g
Gà Xào Hạt Điều,Hành tây,1/2 củ
Gà Xào Hạt Điều,Gừng sợi,1M
Gà Xào Hạt Điều,Nước dùng,1/2 chén
Gà Xào Hạt Điều,Nước cốt gừng,1M
Gà Xào Hạt Điều,"Hành tỏi băm, ngò rí, tiêu, đường",
Gà Xào Hạt Điều,"Dầu ăn, dầu mè đen, rượu trắng",
Canh Mướp Hương Thịt Viên,Mướp hương (,2 trái)  500g
Canh Mướp Hương Thịt Viên,Thịt băm,150g
Canh Mướp Hương Thịt Viên,Giò sống,100g
Canh Mướp Hương Thịt Viên,Nấm đông cô,3 tai lớn
Canh Mướp Hương Thịt Viên,Miến dong,50g
Canh Mướp Hương Thịt Viên,"Hành lá, ngò rí Tiêu",
Canh Kim Chi Thịt Bò,Bắp bò,300g
Canh Kim Chi Thịt Bò,Kim chi nguyên cây,300g
Canh Kim Chi Thịt Bò,"Nấm đông cô khô, ngâm nở",
Canh Kim Chi Thịt Bò,Boa rô,2 cọng
Canh Kim Chi Thịt Bò,Ớt sừng Tỏi,5 tép
Chả Giò Trái Cây Xốt Sầu Riêng,Thịt sầu riêng,200g
Chả Giò Trái Cây Xốt Sầu Riêng,Táo đỏ,1 trái
Chả Giò Trái Cây Xốt Sầu Riêng,Thơm,1/4 trái
Chả Giò Trái Cây Xốt Sầu Riêng,Dâu,5 trái
Chả Giò Trái Cây Xốt Sầu Riêng,Nước cốt chanh,1M
Chả Giò Trái Cây Xốt Sầu Riêng,Bánh tráng pía,12 cái
Chả Giò Trái Cây Xốt Sầu Riêng,Trứng gà,1 quả
Chả Giò Trái Cây Xốt Sầu Riêng,"Bột bắp, đường, dầu ăn",
Chả Giò Trái Cây Xốt Sầu Riêng,Xốt Mayonnaise LISA,
Tôm Hấp Su Hào,Tôm sú tươi,200g
Tôm Hấp Su Hào,Su hào,300g
Tôm Hấp Su Hào,Hành lá,5 cọng
Tôm Hấp Su Hào,Hành tím băm,
Tôm Hấp Su Hào,Tỏi băm,
Tôm Hấp Su Hào,"Dầu ăn, tiêu",
Bún Chả Cá,Cá thác lác nạo,200g
Bún Chả Cá,Phi lê cá lóc,200g
Bún Chả Cá,Bún tươi,1kg
Bún Chả Cá,Nước dùng,"1,5 lít"
Bún Chả Cá,Cà chua,3 trái
Bún Chả Cá,Dọc mùng (bạc hà),300g
Bún Chả Cá,"Thì là băm, hành lá băm, hành tím băm",
Bún Chả Cá,"Nước nghệ tươi, cơm mẻ, nước cốt chanh",
Bún Chả Cá,"Dầu điều, dầu ăn, mắm tôm, tiêu",
Canh Dưa Leo Nhồi Thịt,Thịt heo,100g
Canh Dưa Leo Nhồi Thịt,Giò sống,50g
Canh Dưa Leo Nhồi Thịt,Dưa leo,3 quả
Canh Dưa Leo Nhồi Thịt,Cà rốt,1 củ
Canh Dưa Leo Nhồi Thịt,Bún tàu ngâm nở,1 lọn
Canh Dưa Leo Nhồi Thịt,Nấm mèo ngâm nở,3 tai
Canh Dưa Leo Nhồi Thịt,Hành tím băm,
Canh Dưa Leo Nhồi Thịt,"Hành lá, ngò rí",
Canh Dưa Leo Nhồi Thịt,"Muối, tiêu",
Salad Bưởi Trộn Bơ,Bưởi,150g
Salad Bưởi Trộn Bơ,Bơ trái,100g
Salad Bưởi Trộn Bơ,Tôm đông lạnh,150g
Salad Bưởi Trộn Bơ,Trứng cút,5 quả
Salad Bưởi Trộn Bơ,"Mè rang, chanh vàng",
Salad Bưởi Trộn Bơ,"Tỏi băm, rau húng lủi",
Salad Bưởi Trộn Bơ,Gia vị,"muối, tiêu"
Canh Chua Bông So Đũa Chay,Bông so đũa,100g
Canh Chua Bông So Đũa Chay,Nấm bào ngư,100g
Canh Chua Bông So Đũa Chay,Tàu hũ ky chiên,1 lá
Canh Chua Bông So Đũa Chay,Nước me,3M
Canh Chua Bông So Đũa Chay,Cà chua,2 trái
Canh Chua Bông So Đũa Chay,Thơm,1/4 trái
Canh Chua Bông So Đũa Chay,Hành boaro,1 cây
Canh Chua Bông So Đũa Chay,"Rau om, ngò gai, ớt sừng",
Canh Chua Bông So Đũa Chay,"Sả, ớt xay",
Canh Chua Bông So Đũa Chay,"Tiêu, đường",
Cá Chiên Giòn Xốt Chanh Ớt,Phi lê cá bớp,600g
Cá Chiên Giòn Xốt Chanh Ớt,Xốt tương cà,1/2 chén
Cá Chiên Giòn Xốt Chanh Ớt,Nước dừa tươi,1 chén
Cá Chiên Giòn Xốt Chanh Ớt,Thì là băm,1m
Cá Chiên Giòn Xốt Chanh Ớt,Húng lủi,5 cây
Cá Chiên Giòn Xốt Chanh Ớt,Hành tỏi băm,
Cá Chiên Giòn Xốt Chanh Ớt,"Dầu ăn, đường, mật ong, nước chanh, ớt bột Paprika, nước bột năng",
Viên Tôm Chiên Tỏi Thì Là,Tôm hấp,100g
Viên Tôm Chiên Tỏi Thì Là,Khoai tây,300g
Viên Tôm Chiên Tỏi Thì Là,Bột mì,1/2 chén
Viên Tôm Chiên Tỏi Thì Là,Trứng gà,1 quả
Viên Tôm Chiên Tỏi Thì Là,Bột chiên xù,1 chén
Viên Tôm Chiên Tỏi Thì Là,"Thì là, tiêu, tỏi, dầu ăn",
Viên Tôm Chiên Tỏi Thì Là,Xốt Mayonnaise LISA,
Bánh Đúc Tôm Thịt,Bột gạo,80g
Bánh Đúc Tôm Thịt,Nước cốt dừa,600ml
Bánh Đúc Tôm Thịt,Thịt nạc dăm,
Bánh Đúc Tôm Thịt,Tôm khô,20g
Bánh Đúc Tôm Thịt,Nước dừa tươi,1 chén
Bánh Đúc Tôm Thịt,"Hành tím băm,củ sắn xắt sợi nhuyễn, tỏi băm, ớt băm, hành lá, ngò rí, chanh",
Bánh Đúc Tôm Thịt,"Nước mắm, đường, dầu ăn",
Tôm Sú San Hô,Nấm kim châm,200g
Tôm Sú San Hô,Tôm sú,150g
Tôm Sú San Hô,"Húng lủi, dầu ăn, tương ớt",
Lòng Non Xào Nghệ,Lòng heo non,300g
Lòng Non Xào Nghệ,Nghệ củ,1 củ nhỏ
Lòng Non Xào Nghệ,Bông hẹ,100g
Lòng Non Xào Nghệ,Hành tây,1/2 củ
Lòng Non Xào Nghệ,Bánh tráng mè nướng,
Lòng Non Xào Nghệ,"Húng lủi, đậu phộng rang",
Lòng Non Xào Nghệ,"Ớt hiểm, nước nghệ",
Lòng Non Xào Nghệ,Tỏi băm,
Lòng Non Xào Nghệ,"Tiêu, dầu ăn",
Cá Hồi Ngũ Sắc,Phi lê cá hồi,400g
Cá Hồi Ngũ Sắc,Khoai tây,400g
Cá Hồi Ngũ Sắc,Bông cải trắng,150g
Cá Hồi Ngũ Sắc,Ớt chuông xanh,1/4 trái
Cá Hồi Ngũ Sắc,Ớt chuông đỏ,1/4 trái
Cá Hồi Ngũ Sắc,Thì là,
Cá Hồi Ngũ Sắc,Hành tỏi băm,
Cá Hồi Ngũ Sắc,"Nước cốt chanh, nước bột năng",
Cá Hồi Ngũ Sắc,"Dầu hào, bơ tươi",
Cá Hồi Ngũ Sắc,"Tiêu, dầu ăn, muối",
Vịt Kho Chuối Xanh,Thịt vịt,600g
Vịt Kho Chuối Xanh,Chuối xanh,3 trái
Vịt Kho Chuối Xanh,Gừng cắt lát,15g
Vịt Kho Chuối Xanh,Hành lá,2 cọng
Vịt Kho Chuối Xanh,Ngò rí,1 cọng
Vịt Kho Chuối Xanh,Ớt hiểm đập dập,3 trái
Vịt Kho Chuối Xanh,Hành tím đập dập,5 củ
Vịt Kho Chuối Xanh,Tỏi đập dập,5 tép
Vịt Kho Chuối Xanh,"Dầu ăn, nước mắm, dầu điều",
Vịt Kho Chuối Xanh,"Đường, muối, tiêu",
Nhộng Xào Bông Hẹ,Nhộng,200g
Nhộng Xào Bông Hẹ,Bông hẹ,150g
Nhộng Xào Bông Hẹ,Cà rốt,100g
Nhộng Xào Bông Hẹ,Hành tím băm,
Nhộng Xào Bông Hẹ,Gia vị thông thường,
Cháo Cá Hồi,Phi lê cá hồi,200g
Cháo Cá Hồi,Gạo,100g
Cháo Cá Hồi,Cà rốt,80g
Cháo Cá Hồi,Đậu que,80g
Cháo Cá Hồi,Đậu đen,80g
Cháo Cá Hồi,Bắp Mĩ,1/2 trái
Cháo Cá Hồi,Hành ngò,
Cháo Cá Hồi,"Tiêu, muối",
Thăn Heo Cuộn Dừa,Thăn heo,300g
Thăn Heo Cuộn Dừa,Bột xù,100g
Thăn Heo Cuộn Dừa,Bột mì,50g
Thăn Heo Cuộn Dừa,Dừa rám bào sợi,100g
Thăn Heo Cuộn Dừa,Nước cốt dừa,2M
Thăn Heo Cuộn Dừa,Nước sả,1M
Thăn Heo Cuộn Dừa,Nước hành tím,1M
Thăn Heo Cuộn Dừa,Nước tỏi,1M
Thăn Heo Cuộn Dừa,Nước gừng,1M
Thăn Heo Cuộn Dừa,Trứng gà,1 quả
Thăn Heo Cuộn Dừa,Đậu phộng giã nhỏ,1M
Thăn Heo Cuộn Dừa,Gừng cắt nhỏ,1M
Thăn Heo Cuộn Dừa,Ớt cắt nhỏ,1M
Thăn Heo Cuộn Dừa,"Dầu ăn, tiêu,nước mắm",
Gà Nướng Nấm Linh Chi,Ức gà,200g
Gà Nướng Nấm Linh Chi,Nấm linh chi,200g
Gà Nướng Nấm Linh Chi,Cà rốt,1/2 củ
Gà Nướng Nấm Linh Chi,Cần tây,2 cọng
Gà Nướng Nấm Linh Chi,Hành tây băm,2M
Gà Nướng Nấm Linh Chi,"Tiêu, dầu ăn, bơ",
Gỏi Sứa Rau Thơm,Sứa ngâm chua ngọt,200g
Gỏi Sứa Rau Thơm,Tai heo ngâm chua ngọt,200g
Gỏi Sứa Rau Thơm,Cà rốt,1/2 củ
Gỏi Sứa Rau Thơm,Hành tây,1/2 củ
Gỏi Sứa Rau Thơm,"Khế, chuối chát, các loại rau thơm",
Gỏi Sứa Rau Thơm,Mè rang,
Gỏi Sứa Rau Thơm,Bánh phồng tôm,
Gỏi Sứa Rau Thơm,"Tỏi băm, ớt băm",
Gỏi Sứa Rau Thơm,"Tương ớt, đường, nước mắm, muối",
Gỏi Bắp Bò Rau Thơm,Bắp bò,500g
Gỏi Bắp Bò Rau Thơm,Hành tây,1/2 củ
Gỏi Bắp Bò Rau Thơm,Cần tây,2 cây
Gỏi Bắp Bò Rau Thơm,Ớt sừng cắt sợi,1 trái
Gỏi Bắp Bò Rau Thơm,Hành tím,5 củ
Gỏi Bắp Bò Rau Thơm,Sả cây,3 cây
Gỏi Bắp Bò Rau Thơm,Tắc,10 trái
Gỏi Bắp Bò Rau Thơm,Rau thơm các loại,100g
Gỏi Bắp Bò Rau Thơm,Mè rang,
Gỏi Bắp Bò Rau Thơm,"Tỏi băm, ớt hiểm băm, nước mắm, đường, tương ớt",
Óc Heo Chiên Giòn,Óc heo,400g
Óc Heo Chiên Giòn,Hành boaro,20g
Óc Heo Chiên Giòn,Gừng băm,1 củ
Óc Heo Chiên Giòn,Chanh,1 trái
Óc Heo Chiên Giòn,Rau răm,1 ít
Óc Heo Chiên Giòn,"Tỏi, ớt băm",
Óc Heo Chiên Giòn,Ăn kèm,"dưa leo, xà lách, húng quế"
Óc Heo Chiên Giòn,"Đường, nước mắm, dầu ăn",
Sườn Chiên Mayonnaise Sa Tế,Sườn cốt lết,400g
Sườn Chiên Mayonnaise Sa Tế,Tỏi phi có dầu,1M
Sườn Chiên Mayonnaise Sa Tế,Hành tím băm,1M
Sườn Chiên Mayonnaise Sa Tế,Sả băm phi,1M
Sườn Chiên Mayonnaise Sa Tế,"Mật ong, sa tế, dầu ăn, nước mắm",
Sườn Chiên Mayonnaise Sa Tế,Ăn kèm,"xà lách, dưa leo, cà chua, cơm trắng"
Cháo Nấm Tràm,Tôm thẻ tươi,100g
Cháo Nấm Tràm,Nước dùng,1 lít
Cháo Nấm Tràm,Thịt nạc dăm xay,100g
Cháo Nấm Tràm,Gạo thơm,1/2 chén
Cháo Nấm Tràm,Nấm tràm khô,50g
Cháo Nấm Tràm,Trứng vịt,1 trứng
Cháo Nấm Tràm,Hành tím băm,
Cháo Nấm Tràm,"Hành ngò, chanh ớt",
Cháo Nấm Tràm,"Tiêu, nước mắm",
Dồi Trường Xào Cải Chua,Dồi trường,200g
Dồi Trường Xào Cải Chua,Cải chua,300g
Dồi Trường Xào Cải Chua,Ớt sừng,1 trái
Dồi Trường Xào Cải Chua,Sa tế,1M
Dồi Trường Xào Cải Chua,Hành tím,5 củ
Dồi Trường Xào Cải Chua,Gừng,1 củ
Dồi Trường Xào Cải Chua,Tỏi băm Gừng băm,
Dồi Trường Xào Cải Chua,Hành lá,
Dồi Trường Xào Cải Chua,"Nước mắm, dầu ăn, đường",
Canh Bầu Nấu Riêu Tép,Bầu sao,300g
Canh Bầu Nấu Riêu Tép,Tép,200g
Canh Bầu Nấu Riêu Tép,"Hành lá, ngò rí",
Canh Bầu Nấu Riêu Tép,Hành phi,
Canh Bầu Nấu Riêu Tép,Gia vị thông thường,
Salad Chip Chip,Khoai lang,100g
Salad Chip Chip,Khoai tây,100g
Salad Chip Chip,Khoai môn,50g
Salad Chip Chip,Sa kê,50g
Salad Chip Chip,Xà lách caron,50g
Salad Chip Chip,Đậu hũ mềm,1 miếng
Salad Chip Chip,Bơ đậu phộng Sữa tươi không đường,
Salad Chip Chip,"Bắp cải tím Dầu mè, muối, dầu ăn",
Bê Thấu,Bê thui,300g
Bê Thấu,Khế chua,2 trái
Bê Thấu,Chuối chát,2 trái
Bê Thấu,Kiệu chua,100g
Bê Thấu,Ớt sừng,1 trái
Bê Thấu,"Rau răm, mè trắng rang",
Bê Thấu,Tỏi ớt băm,"1M, nước cốt chanh 1M"
Bê Thấu,"Muối, đường, bánh tráng nướng",
Bê Thấu,"Nước mắm, dầu ăn",
Bò Cuộn Ba Rọi Xông Khói,Thịt bò phi lê,400g
Bò Cuộn Ba Rọi Xông Khói,Thịt bò xay,100g
Bò Cuộn Ba Rọi Xông Khói,Thịt ba rọi xông khói cắt nhỏ,100g
Bò Cuộn Ba Rọi Xông Khói,Cà rốt cắt nhỏ,30g
Bò Cuộn Ba Rọi Xông Khói,Hành tây cắt nhỏ,30g
Bò Cuộn Ba Rọi Xông Khói,Cọng cần tàu cắt nhỏ,2m
Bò Cuộn Ba Rọi Xông Khói,Rượu brandy,1m
Bò Cuộn Ba Rọi Xông Khói,Rau mầm,
Bò Cuộn Ba Rọi Xông Khói,Cà chua bi,
Bò Cuộn Ba Rọi Xông Khói,"Bột mì, dầu ăn, muối, tiêu, tương ớt",
Cá Thu Nhật Kho Me,Cá thu Nhật,400g
Cá Thu Nhật Kho Me,Nước cốt me,1/2 chén
Cá Thu Nhật Kho Me,Ớt hiểm,2 trái
Cá Thu Nhật Kho Me,Ớt sừng,1 trái
Cá Thu Nhật Kho Me,Hành lá,
Cá Thu Nhật Kho Me,Dừa xiêm,1 trái
Cá Thu Nhật Kho Me,"Hành, tỏi băm",
Cá Thu Nhật Kho Me,Gừng cắt sợi,
Cá Thu Nhật Kho Me,"Tiêu, đường, dầu màu điều, nước mắm, dầu ăn",
Gà Hấp Đậu Hũ Non,Thịt gà phi lê,200g
Gà Hấp Đậu Hũ Non,Đậu hũ non,100g
Gà Hấp Đậu Hũ Non,Đậu Hà Lan,30g
Gà Hấp Đậu Hũ Non,Trứng gà,2 quả
Gà Hấp Đậu Hũ Non,Củ sắn,1/2 củ
Gà Hấp Đậu Hũ Non,Cà rốt,1/2 củ
Gà Hấp Đậu Hũ Non,Gừng nhỏ,1 củ
Gà Hấp Đậu Hũ Non,Sữa tươi,
Gà Hấp Đậu Hũ Non,Dầu hành lá băm,
Gà Hấp Đậu Hũ Non,"Tiêu, dầu mè",
Củ Hũ Dừa Kho Nấm,Củ hũ dừa,200g
Củ Hũ Dừa Kho Nấm,Nấm rơm búp,100g
Củ Hũ Dừa Kho Nấm,Đậu hũ chiên,100g
Củ Hũ Dừa Kho Nấm,Nước dừa,1/2 chén
Củ Hũ Dừa Kho Nấm,Đậu bắp,100g
Củ Hũ Dừa Kho Nấm,Ớt hiểm đập dập,2 trái
Củ Hũ Dừa Kho Nấm,"Poa-ro băm, sả băm, ngò rí",
Củ Hũ Dừa Kho Nấm,"Đường, tiêu, dầu ăn",
Lẩu Cá Thác Lác Khổ Qua,Xương heo,500g
Lẩu Cá Thác Lác Khổ Qua,Khổ qua rừng,400g
Lẩu Cá Thác Lác Khổ Qua,Cá thác lác,200g
Lẩu Cá Thác Lác Khổ Qua,Cà rốt,50g
Lẩu Cá Thác Lác Khổ Qua,Cọng thì là băm nhỏ,1M
Lẩu Cá Thác Lác Khổ Qua,Hành lá,50g
Lẩu Cá Thác Lác Khổ Qua,Ngò rí,2 cây
Lẩu Cá Thác Lác Khổ Qua,Nấm kim châm,50g
Lẩu Cá Thác Lác Khổ Qua,Nấm bào ngư,50g
Lẩu Cá Thác Lác Khổ Qua,Nấm đùi gà,50g
Lẩu Cá Thác Lác Khổ Qua,Bún tươi,
Lẩu Cá Thác Lác Khổ Qua,"Muối, tiêu, dầu ăn, nước mắm",
Gỏi Chân Gà Tôm Chua,Chân gà rút xương,300g
Gỏi Chân Gà Tôm Chua,Mắm tôm chua,100g
Gỏi Chân Gà Tôm Chua,Dưa leo,2 trái
Gỏi Chân Gà Tôm Chua,Cọng cần tàu,15g
Gỏi Chân Gà Tôm Chua,Hành tím bào mỏng,50g
